idfiltro,Codusu,verfiltro,orden
3619,0,0,45
3620,0,0,46
3621,0,0,47
3622,0,0,57
3623,0,0,4
3624,0,0,38
3625,0,0,5
3626,0,0,46
3627,0,1,2
3628,0,0,16
3652,0,0,48
3659,0,0,12
3663,0,0,46
3664,0,0,59
3665,0,0,30
3666,0,0,41
3669,0,0,49
3670,0,0,16
3671,0,0,23
3674,0,1,0
3677,0,0,11
3678,0,0,9
3679,0,0,8
3680,0,0,2
3681,0,0,6
3689,0,0,13
3690,0,0,43
3691,0,0,11
3692,0,0,10
3704,0,0,6
3804,0,0,6
4001,0,0,78
4002,0,0,44
4003,0,0,18
4004,0,0,58
4005,0,0,7
4008,0,0,34
4009,0,0,62
4010,0,0,50
4011,0,0,51
4104,0,1,0
4105,0,1,1
4106,0,1,2
4108,0,0,5
4111,0,0,43
4124,0,1,3
4125,0,0,7
4126,0,1,0
4127,0,1,1
4128,0,1,2
4129,0,0,4
4130,0,0,8
4131,0,0,15
4132,0,0,5
4133,0,0,6
4134,0,1,1
4135,0,1,0
4136,0,1,2
4137,0,1,3
4138,0,1,4
4139,0,0,42
4146,0,0,19
4147,0,0,42
4150,0,0,16
4151,0,0,42
4152,0,0,23
4153,0,0,25
4154,0,0,31
4155,0,0,22
4159,0,0,48
4160,0,0,25
4161,0,0,54
4162,0,0,6
4163,0,0,7
4167,0,0,45
4168,0,0,82
