NumCta,Descripcion,Descripcion2,tipoPGC
6410000000,Indemnizaciones,,2
642,Seguridad social a cargo de la empresa,Seguridad Social a cargo de la entidad,0
6420000000,Seguridad Social a cargo de la entidad,,2
643,Retribuciones a largo plazo mediante sistemas de aportación definida,,1
644,Retribuciones a largo plazo mediante sistemas de prestación definida,,1
6440000000,Contribuciones anuales,,1
6442000000,Otros costes,,1
645,Retribuciones al personal mediante instrumentos de patrimonio,,1
6450000000,Retribuciones al personal liquidados con instrumentos de patrimonio,,1
6457000000,Retribuciones al personal liquidados en efectivo basado en instrumentos de patrimonio,,1
649,Otros gastos sociales,,
6490000000,Otros gastos sociales,,2
650,Pérdidas de créditos comerciales incobrables,Ayudas monetarias,0
6501000000,Ayudas monetarias individuales,,2
6502000000,Ayudas monetarias a entidades,,2
6503000000,Ayudas monetarias realizadas a trav?s de otras entidades o centros,,2
6504000000,Ayudas monetarias de cooperaci?n internacional,,2
651,Resultados de operaciones en común,Ayudas no monetarias,0
6510000000,Beneficio transferido (gestor),,1
6511000000,Pérdida soportada  (partícipe o asociado no gestor),Ayudas no monetarias individuales,0
6512000000,Ayudas no monetarias a entidades,,2
6513000000,Ayudas no monetarias realizadas a trav?s de otras entidades o centros,,2
6514000000,Ayudas no monetarias de cooperaci?n internacional,,2
653,Compensaci?n de gastos por prestaciones de colaboraci?n,,2
6530000000,Compensaci?n de gastos por prestaciones de colaboraci?n,,2
654,Reembolsos de gastos al ?rgano de gobierno,,2
6540000000,Reembolsos de gastos al ?rgano de gobierno,,2
655,P?rdidas de cr?ditos incobrables derivados de la actividad,,2
6550000000,P?rdidas de cr?ditos incobrables derivados de la actividad,,2
656,Resultados de operaciones en com?n,,2
6560000000,Beneficio transferido (gestor),,2
6561000000,P?rdida soportada (part?cipe o asociado no gestor),,2
658,"Reintegro de subvenciones, donaciones y legados recibidos, afectos a la actividad propia de la entidad",,2
6580000000,"Reintegro de subvenciones, donaciones y legados recibidos, afectos a la actividad propia de la entidad",,2
659,Otras pérdidas en gestión corriente,,
6590000000,Otras p?rdidas en gesti?n corriente,,2
660,Gastos financieros por actualización de provisiones,,
6600000000,Gastos financieros por actualizaci?n de provisiones,,2
661,Intereses de obligaciones y bonos,,
6610000000,"Intereses de obligaciones y bonos a largo plazo, empresas del grupo","Intereses de obligaciones y bonos a largo plazo, entidades del grupo",0
6611000000,"Intereses de obligaciones y bonos a largo plazo, empresas asociadas","Intereses de obligaciones y bonos a largo plazo, entidades asociadas",0
6612000000,"Intereses de obligaciones y bonos a largo plazo, otras partes vinculadas",,
6613000000,"Intereses de obligaciones y bonos a largo plazo, otras empresas","Intereses de obligaciones y bonos a largo plazo, otras entidades",0
6615000000,"Intereses de obligaciones y bonos a corto plazo, empresas del grupo","Intereses de obligaciones y bonos a corto plazo, entidades del grupo",0
6616000000,"Intereses de obligaciones y bonos a corto plazo, empresas asociadas","Intereses de obligaciones y bonos a corto plazo, entidades asociadas",0
6617000000,"Intereses de obligaciones y bonos a corto plazo, otras partes vinculadas","Intereses de obligaciones y bonos a corto plazo,  otras partes vinculadas",0
6618000000,"Intereses de obligaciones y bonos a corto plazo, otras empresas","Intereses de obligaciones y bonos a corto plazo, otras entidades",0
662,Intereses de deudas,,
6620000000,"Intereses de deudas, empresas del grupo","Intereses de deudas, entidades del grupo",0
6621000000,"Intereses de deudas, empresas asociadas","Intereses de deudas, entidades asociadas",0
6622000000,"Intereses de deudas, otras partes vinculadas",,
6623000000,Intereses de deudas con entidades de crédito,,
6624000000,"Intereses de deudas, otras empresas","Intereses de deudas, otras entidades",0
663,Pérdidas por valoración de instrumentos financieros por su valor razonable,,
6630000000,Pérdidas de cartera de negociación,P?rdidas por valoraci?n de activos y pasivos financieros por su valor razonable,0
6631000000,Pérdidas de designados por la empresa,,1
6632000000,Pérdidas de disponibles para la venta,,1
6633000000,Pérdidas de instrumentos de cobertura,,1
664,Dividendos de acciones o participaciones consideradas como pasivos financieros,,1
6640000000,"Dividendos de pasivos, empresas del grupo",,1
6641000000,"Dividendos de pasivos, empresas asociadas",,1
